x;y1;y2;y3;y4;y5;y6;y7;y8
0,00459;92,483;;;;;90,7;27,81;50,23
0,00918;488,384;;;;;229,67;118,26;184,72
0,01836;536,352;;;;;553,72;398,86;284,15
0,0459;1483,479;1391,317;1327,613;1703,152;1832,119;1322,04;1146,88;1089,3
0,0918;2922,386;;;;;2770,47;2043,99;2097,5
0,1836;6609,36;6694,027;5987,393;6893,075;3713,763;5274,51;5386,5;5883,09
0,459;15321,844;14239,953;14751,511;16133,854;16736,068;;;
0,918;29245,811;19012,668;29995,67;27931,279;34464,215;26915,09;24972,81;26299,63
1,377;56628,871;48337,199;47376,465;51917,012;54171,398;;;
1,836;65734,422;57654,523;62452,566;71536,047;72492,391;;;
